Name|Salary.0203|Salary.0304|Salary.0506|Salary.0607|Salary.0708|Salary.0809|Salary.0910|Salary.1011|Salary.1112|Salary.1213|Salary.1314|Total
A.J._JENKS|0|0|0|0|0|0|0|0|0|0.713|0|0.713
AARON_DOWNEY|0.45|0.5|0.45|0.475|0.525|0|0|0|0|0|0|2.4
AARON_GAGNON|0|0|0|0|0|0|0|0|0|0.525|0|0.525
AARON_GAVEY|0.5|0|0|0|0|0|0|0|0|0|0|0.5
AARON_JOHNSON|0|0|0|0.45|0.475|0.525|0.54|0|0|0.65|0|2.64
AARON_MILLER|1.7|3.5|2.66|2.28|1.5|0|0|0|0|0|0|11.64
AARON_NESS|0|0|0|0|0|0|0|0|0|0.787|0.875|1.662
AARON_PALUSHAJ|0|0|0|0|0|0|0|0|0|0.6|0|0.6
AARON_ROME|0|0|0|0|0|0.5445|0.525|0.7|0.8|1.3|1.6|5.4695
AARON_VOLPATTI|0|0|0|0|0|0|0|0|0.625|0.6|0|1.225
AARON_VOROS|0|0|0|0|0.495|1.2|0.9|0.9|0|0|0|3.495
AARON_WARD|1.5|0|1.52|2.75|2.75|2.5|2.5|0|0|0|0|13.52
ADAM_ALMQVIST|0|0|0|0|0|0|0|0|0|0.595|0.595|1.19
ADAM_BURISH|0|0|0|0|0.575|0.7|0.725|1|1.3|1.85|1.85|8
ADAM_CLENDENING|0|0|0|0|0|0|0|0|0|0.618|0.792|1.41
ADAM_COMRIE|0|0|0|0|0|0|0|0|0|0.713|0.55|1.263
ADAM_CRACKNELL|0|0|0|0|0|0|0|0|0|0.55|0.6|1.15
ADAM_DEADMARSH|3|3|0|0|0|0|0|0|0|0|0|6
ADAM_FOOTE|4.2|4.3|4.6|4.6|4.6|2.75|3.25|1|0|0|0|29.3
ADAM_GRAVES|3.2|0|0|0|0|0|0|0|0|0|0|3.2
ADAM_HALL|0.6|0.685|0.6|0.975|0.525|0.6|0.6|0.6|0.6|0.65|0.6|7.035
ADAM_HENRIQUE|0|0|0|0|0|0|0|0|0.6125|0.525|4|5.1375
ADAM_LARSSON|0|0|0|0|0|0|0|0|0|0.925|0.925|1.85
ADAM_MAIR|0.4|0.483|0.45|0.675|0.75|0.75|0.775|0|0|0|0|4.283
ADAM_MCQUAID|0|0|0|0|0|0|0|0|0.6|1.4|1.5|3.5
ADAM_MORRISON|0|0|0|0|0|0|0|0|0|0.62|0.645|1.265
ADAM_MUNRO|0|0.2|0|0|0|0|0|0|0|0|0|0.2
ADAM_OATES|3.5|0|0|0|0|0|0|0|0|0|0|3.5
ADAM_PARDY|0|0|0|0|0|0.5|0.7|0.7|2|2|0.6|6.5
ADAM_PAYERL|0|0|0|0|0|0|0|0|0|0.61|0.61|1.22
ADAM_POLASEK|0|0|0|0|0|0|0|0|0|0.61|0.64|1.25
ADRIAN_AUCOIN|3.1|3.25|4|4|4|4|2.25|1.8|2.2|2|0|30.6
AKI-PETTERI_BERG|1.2|1.4|1.064|0|0|0|0|0|0|0|0|3.664
AKIM_ALIU|0|0|0|0|0|0|0|0|0|0.695|0|0.695
AL_MACINNIS|7.5|6|0|0|0|0|0|0|0|0|0|13.5
AL_MONTOYA|0|0|0|0|0|0|0|0|0.601|0.601|0.601|1.803
ALAIN_BERGER|0|0|0|0|0|0|0|0|0|0.667|0.667|1.334
ALAIN_NASREDDINE|0|0|0|0.45|0|0|0|0|0|0|0|0.45
ALEC_MARTINEZ|0|0|0|0|0|0|0.6375|0|0.7375|0.738|1.1|3.213
ALEC_RICHARDS|0|0|0|0|0|0|0|0|0|0.525|0|0.525
ALES_HEMSKY|0|0|0.90174|3.5|3.6|3.6|4.4|4.5|5|4.5|5.5|35.50174
ALES_KOTALIK|0|0.9|0.8379|2|2.5|2.5|3|3|0|0|0|14.7379
ALEX_BIEGA|0|0|0|0|0|0|0|0|0|0.578|0|0.578
ALEX_CHIASSON|0|0|0|0|0|0|0|0|0|0.8|0.9|1.7
ALEX_FRIESEN|0|0|0|0|0|0|0|0|0|0.575|0.595|1.17
ALEX_GALCHENYUK|0|0|0|0|0|0|0|0|0|0.925|0.925|1.85
ALEX_GOLIGOSKI|0|0|0|0|0|0.89526|1.25|1.5|2.75|4.2|4.6|15.19526
ALEX_HENRY|0.55|0.605|0.57|0|0|0|0.5|0|0|0|0|2.225
ALEX_HUTCHINGS|0|0|0|0|0|0|0|0|0|0.59|0|0.59
ALEX_PETROVIC|0|0|0|0|0|0|0|0|0|0.76|0.815|1.575
ALEX_PIETRANGELO|0|0|0|0|0|0|0.875|0.875|0.7875|0.787|6.5|9.8245
ALEX_PLANTE|0|0|0|0|0|0|0|0|0|0.625|0|0.625
ALEX_RICHARDS|0|0|0|0|0|0|0|0|0.525|0|0|0.525
ALEX_STALOCK|0|0|0|0|0|0|0|0.785|0|0.688|0|1.473
ALEX_TANGUAY|0.9|1.5|3.23|5|5.375|5.375|2.5|1.7|3.5|3.5|3.5|36.08
ALEXANDER_AULD|0|0.9|0.513|1.475|0.6|1|1|1|1|0|0|7.488
ALEXANDER_AVTSIN|0|0|0|0|0|0|0|0|0|0.615|0.525|1.14
ALEXANDER_BURMISTROV|0|0|0|0|0|0|0|0|0.9|0.9|0|1.8
ALEXANDER_EDLER|0|0|0|0|0.55|0.55|3.25|3.25|3.25|3.25|3.25|17.35
ALEXANDER_FROLOV|0|0|2|2|3|3.5|4|3|0|0|0|17.5
ALEXANDER_KARPOVTSEV|2.95|3.1|0.76|0|0|0|0|0|0|0|0|6.81
ALEXANDER_KHAVANOV|0|1.3|1.25|0|0|0|0|0|0|0|0|2.55
ALEXANDER_KHOKHLACHEV|0|0|0|0|0|0|0|0|0|0.767|0.818|1.585
ALEXANDER_KILLORN|0|0|0|0|0|0|0|0|0|0.875|0.875|1.75
ALEXANDER_KOROLYUK|0.9|1.2|0|0|0|0|0|0|0|0|0|2.1
ALEXANDER_MOGILNY|5.5|5.5|3.5|3.5|0|0|0|0|0|0|0|18
ALEXANDER_OVECHKIN|0|0|0.9842|0.9842|0.9842|9|9|9|9|9|9|56.9526
ALEXANDER_PEREZHOGIN|0|0|0.7106|0.627|0|0|0|0|0|0|0|1.3376
ALEXANDER_RADULOV|0|0|0|0.9842|0.68894|0|0|0|0|0|0|1.67314
ALEXANDER_ROACH|0|0|0|0|0|0|0|0|0|0.55|0.55|1.1
ALEXANDER_SALAK|0|0|0|0|0|0|0|0|0|0.6|0|0.6
ALEXANDER_SEMIN|0|0|0.9006|1.4|1.2|4.2|5|6|6.7|7|7|39.4006
ALEXANDER_STEEN|0|0|0.72018|0.77018|0.87018|1.7|1.7|2.75|3.566667|3.567|3.567|19.211207
ALEXANDER_SULZER|0|0|0|0|0|0|0.6|0.7|0.7|0.725|7.25|9.975
ALEXANDER_SVITOV|0|0|0|0.8|0|0|0|0|0|0|0|0.8
ALEXANDER_URBOM|0|0|0|0|0|0|0|0|0.615|0.525|0.525|1.665
ALEXANDRE_BOLDUC|0|0|0|0|0|0|0|0|0.55|0.65|0|1.2
ALEXANDRE_BURROWS|0|0|0|0.45|0.475|0.525|2|2|2|2|6|15.45
ALEXANDRE_DAIGLE|0.7|0.5|0.85|0|0|0|0|0|0|0|0|2.05
ALEXANDRE_GIROUX|0|0|0|0|0|0.475|0|0.5|0|0|0|0.975
ALEXANDRE_MALLET|0|0|0|0|0|0|0|0|0|0.642|0.693|1.335
ALEXANDRE_PICARD|0|0|0|0.55|0|0.75|0.85|0|0.6|0|0|2.75
ALEXEI_EMELIN|0|0|0|0|0|0|0|0|0|2|2|4
ALEXEI_GUSAROV|1.2|0|0|0|0|0|0|0|0|0|0|1.2
ALEXEI_KOVALEV|4.6|6.6|4.5|4.5|4.5|4.5|5|5|0|0|0|39.2
ALEXEI_MOROZOV|1.1|1.5|0|0|0|0|0|0|0|0|0|2.6
ALEXEI_PONIKAROVSKY|0|0.5225|0.7|0.725|1.575|2.24|2.5|3.2|1.5|1.8|0|14.7625
ALEXEI_SEMENOV|0|0.7|0.76|0.798|0.65|0.65|0|0|0|0|0|3.558
ALEXEI_YASHIN|7.4|8.4|7.6|7.6|0|0|0|0|0|2.204|2.204|35.408
ALEXEI_ZHAMNOV|4|4.5|4.1|4.1|4.1|0|0|0|0|0|0|20.8
ALEXEI_ZHITNIK|3.55|3.75|3.515|3.5|3.5|0|0|0|0|0|0|17.815
ALLEN_YORK|0|0|0|0|0|0|0|0|0|0.738|0|0.738
ALYN_MCCAULEY|0.9517|1.2|1.083|2|0|0|0|0|0|0|0|5.2347
ANDERS_ERIKSSON|1|0|0|0.6|1.5|0|0|0|0|0|0|3.1
ANDERS_LINDBACK|0|0|0|0|0|0|0|0|0.7375|1.4|2.2|4.3375
ANDERS_NILSSON|0|0|0|0|0|0|0|0|0|0.9|0.9|1.8
ANDRE_BENOIT|0|0|0|0|0|0|0|0|0|0.65|0|0.65
ANDRE_DEVEAUX|0|0|0|0|0|0.48|0|0|0|0.7|0|1.18
ANDRE_PETERSSON|0|0|0|0|0|0|0|0|0|0.72|0.77|1.49
ANDRE_ROY|0.7|0.825|1|1|1|0.55|0|0|0|0|0|5.075
ANDRE_SAVAGE|0.5|0|0|0|0|0|0|0|0|0|0|0.5
ANDREAS_DACKELL|1.2|1.4|0|0|0|0|0|0|0|0|0|2.6
ANDREAS_KARLSSON|0|0|0|0.5|0.5|0|0|0|0|0|0|1
ANDREAS_LILJA|0.5|0.6|0.65|1|1|1.25|1.25|0|0.775|0.7|0|7.725
ANDREAS_NODL|0|0|0|0|0|0.66|0|0.735|0.845|0.845|0|3.085
ANDREAS_THURESSON|0|0|0|0|0|0|0.58|0|0|0|0|0.58
ANDREI_KASTSITSYN|0|0|0|0.8018|0.6118|3.25|3.25|3.25|3.25|0|0|14.4136
ANDREI_LOKTIONOV|0|0|0|0|0|0|0|0|0|0.575|7.25|7.825
ANDREI_MARKOV|0.7|1.3|1.5|2|5.75|5.75|5.75|5.75|5.75|5.75|5.75|45.75
ANDREI_NAZAROV|0.6|0.675|0.625|0|0|0|0|0|0|0|0|1.9
ANDREI_NIKOLISHIN|1.24025|1.75|0|0|0|0|0|0|0|0|0|2.99025
ANDREI_ZYUZIN|1.05|1.2|1.25|1.325|1.475|0|0|0|0|0|0|6.3
ANDREJ_MESZAROS|0|0|0.9842|0.9842|0.9842|2.5|3.25|4|4|4.75|5.5|26.9526
ANDREJ_NESTRASIL|0|0|0|0|0|0|0|0|0|0.583|0.583|1.166
ANDREJ_SEKERA|0|0|0|0|0.658|0.659|0.75|1.25|4.25|3.25|1.75|12.567
ANDREW (DREW)_MILLER|0|0|0|0|0.6775|0.525|0.525|0.65|0.8|0.85|1.35|5.3775
ANDREW_ALBERTS|0|0|0.8588|0.6613|1.1|1.4|0.8|1.3|1.225|1.225|0.6|9.1701
ANDREW_BODNARCHUK|0|0|0|0|0|0|0|0|0|0.6|0|0.6
ANDREW_BRUNETTE|1.05|1.1|0.8|0.8|1.6|2.5|2.5|2|2|0|0|14.35
ANDREW_CAMPBELL|0|0|0|0|0|0|0|0|0|0.525|0.55|1.075
ANDREW_CASSELS|2.6|3.225|1.5|0|0|0|0|0|0|0|0|7.325
ANDREW_COGLIANO|0|0|0|0|0.85|0.85|0.85|1|2.15|2.35|2.67|10.72
ANDREW_CRESCENZI|0|0|0|0|0|0|0|0|0|0.583|0.525|1.108
ANDREW_DESJARDINS|0|0|0|0|0|0|0|0.5|0.54|0.64|0.75|2.43
ANDREW_EBBETT|0|0|0|0|0|0.475|0.5|0.6|0.525|0.6|0.55|3.25
ANDREW_FERENCE|0.44|0.5|0.75|0.75|1.235|1.34|1.625|2.25|2.25|2.25|2.25|15.64
ANDREW_GORDON|0|0|0|0|0|0|0|0|0|0.55|0.55|1.1
ANDREW_GREENE|0|0|0|0.85|0.6|0.6|0.725|0.75|2.5|0|3.25|9.275
ANDREW_HUTCHINSON|0|0|0|0.45|0|0.5|0.6|0|0|0|0|1.55
ANDREW_JOHNSTON|0|0|0|0|0|0|0|0|0|0.693|0.792|1.485
ANDREW_JOUDREY|0|0|0|0|0|0|0|0|0|0.6|0|0.6
ANDREW_LADD|0|0|0|0.9842|0.9842|1.45|1.65|2.35|4|4.5|4.5|20.4184
ANDREW_MACDONALD|0|0|0|0|0|0|0.5|0.5|0.55|0.575|0.575|2.7
ANDREW_MURRAY|0|0|0|0|0.475|0.6|0.625|0.65|0.575|0.6|0|3.525
ANDREW_PETERS|0|0|0.45|0.46|0.5|0.55|0.5|0.5|0|0|0|2.96
ANDREW_RAYCROFT|0|0|1.35|1.8|2|0.8|0.5|0.7|0.6|0|0|7.75
ANDREW_SHAW|0|0|0|0|0|0|0|0|0|0.565|0.555|1.12
ANDREW_WOZNIEWSKI|0|0|0|0.475|0.5|0|0|0|0|0|0|0.975
ANDREW_YOGAN|0|0|0|0|0|0|0|0|0|0.63|0.655|1.285
ANDY_ANDREOFF|0|0|0|0|0|0|0|0|0|0.585|0.585|1.17
ANDY_BERENZWEIG|0.475|0|0|0|0|0|0|0|0|0|0|0.475
ANDY_DELMORE|0.9|0|0.45|0|0|0|0|0|0|0|0|1.35
ANDY_GREENE|0|0|0|0|0|0|0|0|0|2.75|3.25|6
ANDY_HILBERT|0|0|0|0.45|0.65|0.7|0|0|0|0|0|1.8
ANDY_MCDONALD|0.575|0.65|0.627|3.333333|3.333333|3.333333|5.2|5.2|4.2|4.2|0|30.651999
ANDY_MIELE|0|0|0|0|0|0|0|0|0.9|0.851|0|1.751
ANDY_SUTTON|0.575|0.775|1.8|2|2.5|3|3.5|2|2.25|1.5|0|19.9
ANSON_CARTER|2.4|2.8|1|2.5|0|0|0|0|0|0|0|8.7
ANSSI_SALMELA|0|0|0|0|0|0|6|0.625|0|0|0|6.625
ANTERO_NIITTYMAKI|0|0|0.45|1|1.075|1.375|0.6|2|2|0|0|8.5
ANTHONY_BITETTO|0|0|0|0|0|0|0|0|0|0.615|0.615|1.23
ANTHONY_HRKAC|0.8|0|0|0|0|0|0|0|0|0|0|0.8
ANTHONY_LUCIANI|0|0|0|0|0|0|0|0|0|0.61|0.61|1.22
ANTHONY_NIGRO|0|0|0|0|0|0|0|0|0|0.6|0|0.6
ANTHONY_PELUSO|0|0|0|0|0|0|0|0|0|0.605|0.55|1.155
ANTHONY_STEWART|0|0|0.646|0|0.475|0.5225|0|0|0.8|1|0|3.4435
ANTOINE_ROUSSEL|0|0|0|0|0|0|0|0|0|0.6|0.625|1.225
ANTOINE_VERMETTE|0|0|0.5643|0.925|1.075|2.525|3|3.75|3.75|3.75|3.75|23.0893
ANTON_BABCHUK|0|0|0|0.9006|0|1|0|1.4|2.5|2.5|0|8.3006
ANTON_BLOMQVIST|0|0|0|0|0|0|0|0|0|0.565|0.58|1.145
ANTON_KHUDOBIN|0|0|0|0|0|0|0|0|0.95|0.8|0|1.75
ANTON_KLEMENTYEV|0|0|0|0|0|0|0|0|0|0.55|0|0.55
ANTON_LANDER|0|0|0|0|0|0|0|0|0|0.9|0.9|1.8
ANTON_RODIN|0|0|0|0|0|0|0|0|0|0.79|0|0.79
ANTON_STRALMAN|0|0|0|0|0.565|0|0.665|1.95|0|1.6|1.8|6.58
ANTON_TRALMAN|0|0|0|0|0|0|0|0|0|1.6|1.8|3.4
ANTON_VOLCHENKOV|0|0|1.1|1.5|2.1|2.2|3.2|4.25|4.25|4.25|4.25|27.1
ANTTI SAKARI_PIHLSTROM|0|0|0|0|0|0.53|0|0|0|0|0|0.53
ANTTI_LAAKSONEN|0.75|0.95|0.646|0.684|0|0|0|0|0|0|0|3.03
ANTTI_MIETTINEN|0|0|0.45|0.45|0.885|2|2.5|2.5|0|1.5|0|10.285
ANTTI_NIEMI|0|0|0|0|0|0|0.826875|2|3.2|4|4|14.026875
ANTTI_TYRVAINEN|0|0|0|0|0|0|0|0|0|0.565|0|0.565
ANZE_KOPITAR|0|0|0|0.85|0.85|0.765|6|6|6.4|6.5|7.5|34.865
ARRON_ASHAM|0.4235|0|0.627|0.95|0.7|0.64|0.64|0.7|0.775|1|1|7.4555
ARTEM_ANISIMOV|0|0|0|0|0|0|0.85|0.765|0|1.875|2.75|6.24
ARTEM_CHUBAROV|0.77|0.847|0|0|0|0|0|0|0|0|0|1.617
ARTEM_SERGEEV|0|0|0|0|0|0|0|0|0|0.575|0.562|1.137
ARTURS_IRBE|2.5|2.7|0|0|0|0|0|0|0|0|0|5.2
AUSTIN_LEVI|0|0|0|0|0|0|0|0|0|0.58|0.605|1.185
AUSTIN_MADAISKY|0|0|0|0|0|0|0|0|0|0.595|0.62|1.215
AUSTIN_SMITH|0|0|0|0|0|0|0|0|0|0.875|0.875|1.75
AUSTIN_WATSON|0|0|0|0|0|0|0|0|0|0.9|0.9|1.8
B.J._CROMBEEN|0|0|0|0|0|0.55|0.86|0.885|0.95|1.05|1.15|5.445
BARRET_JACKMAN|0.5|0|1.14|1.482|2.2|2.5|4.5|4|3.5|3|3.25|26.072
BARRY_TALLACKSON|0|0|0.51|0|0|0|0|0|0|0|0|0.51
BATES_BATTAGLIA|0.85|0.935|0|0.5|0.625|0|0|0|0|0|0|2.91
BEAU_BENNETT|0|0|0|0|0|0|0|0|0|0.9|0.9|1.8
BEAU_SCHMITZ|0|0|0|0|0|0|0|0|0|0.575|0.525|1.1
BEN_BISHOP|0|0|0|0|0|0|0|0|0|0.65|0|0.65
BEN_BLOOD|0|0|0|0|0|0|0|0|0|0.825|0.825|1.65
BEN_CLYMER|0.715|0.79|0.6625|0.85|0|0|0|0|0|0|0|3.0175
BEN_EAGER|0|0|0|0.646|0.55|0.65|0.965|0.965|1|1.1|1.2|7.076
BEN_GUITE|0|0|0|0.45|0.475|0.475|0|0|0|0|0|1.4
BEN_HOLMSTROM|0|0|0|0|0|0|0|0|0.625|0.55|0.6|1.775
BEN_LOVEJOY|0|0|0|0|0|0|0.5|0.525|0.525|0.525|1|3.075
BEN_MAXWELL|0|0|0|0|0|0.685|0|0|0.715|0.65|0|2.05
BEN_RYAN|0|0|0|0|0|0|0|0|0|0.565|0|0.565
BEN_SCRIVENS|0|0|0|0|0|0|0|0.69|0.6|0.6|0.625|2.515
BEN_SMITH|0|0|0|0|0|0|0|0|0.605|0.55|0.575|1.73
BEN_STREET|0|0|0|0|0|0|0|0|0|0.55|0.6|1.15
BEN_WALTER|0|0|0|0|0|0.55|0|0|0|0.525|0|1.075
BENJAMIN_CHIAROT|0|0|0|0|0|0|0|0|0|0.61|0.662|1.272
BENN_FERRIERO|0|0|0|0|0|0|0.635|0.635|0.605|0.7|0.55|3.125
BENOIT_HOGUE|0.65|0|0|0|0|0|0|0|0|0|0|0.65
BENOIT_POULIOT|0|0|0|0|0|0.85|0.80325|1.35|1.1|1.8|1.3|7.20325
BILL_GUERIN|8.73289063|8.866445|6.738498|2|4.5|4.5|2|0|0|0|0|37.33783363
BILL_HOULDER|1.25|0|0|0|0|0|0|0|0|0|0|1.25
BILL_LINDSAY|7|0|0|0|0|0|0|0|0|0|0|7
BILL_MUCKALT|0.75|0.8|0|0|0|0|0|0|0|0|0|1.55
BILL_SWEATT|0|0|0|0|0|0|0|0|0|0.9|0|0.9
BILL_THOMAS|0|0|0|0|0|0|0|0|0|0.55|0|0.55
BJORN_KRUPP|0|0|0|0|0|0|0|0|0|0.525|0.525|1.05
BLAIR_BETTS|0|0|0.5|0.55|0.615|0.615|0.55|0.7|0.7|0|0|4.23
BLAIR_JONES|0|0|0|0.485|0|0|0|0|0.525|0.65|0.65|2.31
BLAIR_RILEY|0|0|0|0|0|0|0|0|0|0.58|0|0.58
BLAKE_COMEAU|0|0|0|0|0.7|0.735|0.5|0.8|2.5|1.25|1|7.485
BLAKE_GEOFFRION|0|0|0|0|0|0|0|0|0|0.803|0|0.803
BLAKE_KESSEL|0|0|0|0|0|0|0|0|0|0.925|0|0.925
BLAKE_PARLETT|0|0|0|0|0|0|0|0|0|0.54|0|0.54
BLAKE_SLOAN|0.45|0|0|0|0|0|0|0|0|0|0|0.45
BLAKE_WHEELER|0|0|0|0|0|0.875|0.875|2.2|2.45|2.65|4.6|13.65
BOB_BOUGHNER|2.3|2.3|0.95|0|0|0|0|0|0|0|0|5.55
BOB_CORKUM|0.85|0|0|0|0|0|0|0|0|0|0|0.85
BOB_ESSENSA|0.6|0|0|0|0|0|0|0|0|0|0|0.6
BOB_PROBERT|0.6|0|0|0|0|0|0|0|0|0|0|0.6
BOBBY_ALLEN|0|0|0|0.45|0.5|0|0|0|0|0|0|0.95
BOBBY_BUTLER|0|0|0|0|0|0|0|0.9|0|0.075|0.2|1.175
BOBBY_RYAN|0|0|0|0|0.85|0.85|0.765|3.25|5.562|5.562|5.562|22.401
BOBBY_SANGUINETTI|0|0|0|0|0|0|0|0|0|0.7|0|0.7
BOONE_JENNER|0|0|0|0|0|0|0|0|0|0.767|0.792|1.559
BORIS_MIRONOV|3.3|1.925|0|0|0|0|0|0|0|0|0|5.225
BORIS_VALABIK|0|0|0|0|0|0.925|0.725|0.8|0|0|0|2.45
BOYD_DEVEREAUX|1.4|1.6|0.57|0.45|0.55|0.6|0|0|0|0|0|5.17
BOYD_GORDON|0|0.5|0.9006|0.65|0.65|0.725|0.76125|0.8|1.3|1.35|3|10.63685
BOYD_KANE|0|0|0|0.45|0|0|0|0|0|0|0|0.45
BRACKEN_KEARNS|0|0|0|0|0|0|0|0|0.7|0.55|0|1.25
BRAD_BOMBARDIR|0.775|0.825|0|0|0|0|0|0|0|0|0|1.6
BRAD_BOYES|0|0|0.6|1.4|1.6|2.5|5|4.5|4|1|1|21.6
BRAD_BROWN|0.75|0|0.45|0|0|0|0|0|0|0|0|1.2
BRAD_FERENCE|0.975|1.32|0.6|0|0|0|0|0|0|0|0|2.895
BRAD_ISBISTER|1.8|1.925|1.102|0.6|0.525|0|0|0|0|0|0|5.952
BRAD_LARSEN|0.5|0|0.485|0.485|0.51|0.56|0|0|0|0|0|2.54
BRAD_LUKOWICH|0.825|1.1|1|1|1.25|1.65|1.8|1|0|0|0|9.625
BRAD_MALONE|0|0|0|0|0|0|0|0|0|0.787|0.735|1.522
BRAD_MARCHAND|0|0|0|0|0|0|0|0.6|2|3|4|9.6
BRAD_MAY|1.2|1.1|0.65|0.7|0.6|0.6|0.5|0|0|0|0|5.35
BRAD_NORTON|0.45|0.475|0|0|0.475|0|0|0|0|0|0|1.4
BRAD_RICHARDS|0.975|2.4|3.401|7.8|7.8|7.8|7.8|7.8|12|12|9|78.776
BRAD_RICHARDSON|0|0|0|0.55|0|0.575|0.6|0.9|1|1.35|1.15|6.125
BRAD_STAUBITZ|0|0|0|0|0|0|0.5|0.55|0.6|0.625|0.65|2.925
BRAD_STUART|0|1.75|1.9|2.4|3.5|3.75|3.75|3.75|3.75|3.6|3.6|31.75
